id,disease,location,hospital_name,age_group,treatment_type,budget,total_patient,successful_patients,success_rate,rating
13599,Diabetes,Amritsar,Amritsar Life Care Centre,Senior Citizen,ICU Care,384753,1587,1533,96.6,3.0
13600,Cancer,Khanna,Khanna Prime Healthcare,Adult,Vaccination,212554,1141,884,77.48,4.7
13601,COVID-19,Fazilka,Fazilka Multicare Hospital,Young Adult,ICU Care,270179,1680,1650,98.21,5.0
13602,Asthma,Patiala,Patiala Medical Centre,Young Adult,Dialysis,298775,2276,1731,76.05,3.0
13603,Cancer,Muktsar,Muktsar Prime Healthcare,Middle Age,Emergency Care,128707,2391,1555,65.04,3.7
13604,Typhoid,Amritsar,Amritsar Life Care Centre,Child,Dialysis,316844,1182,1000,84.6,2.8
13605,Asthma,Abohar,Abohar City Hospital,Senior Citizen,Dialysis,426602,4174,3599,86.22,5.0
13606,Asthma,Amritsar,Amritsar Life Care Centre,Teenager,Medication,474143,4488,2730,60.83,4.3
13607,Malaria,Sangrur,Sangrur Life Care Centre,Senior Citizen,Counselling,327830,559,348,62.25,4.5
13608,Tuberculosis,Fazilka,Fazilka Prime Hospital,Adult,Emergency Care,405775,1661,1196,72.0,4.4
13609,Liver Disease,Tarn Taran,Tarn Taran Multicare Hospital,Middle Age,Radiotherapy,27358,4003,2621,65.48,4.4
13610,COVID-19,Mansa,Mansa Multicare Hospital,Teenager,Radiotherapy,239086,3544,3349,94.5,3.1
13611,Diabetes,Kapurthala,Kapurthala Multicare Hospital,Teenager,Medication,9150,2698,1996,73.98,4.0
13612,Heart Disease,Barnala,Barnala Multicare Hospital,Adult,Physiotherapy,159874,2825,2813,99.58,3.6
13613,Typhoid,Hoshiarpur,Hoshiarpur Health Centre,Adult,Surgery,425566,2624,2176,82.93,2.5
13614,Kidney Disease,Patiala,Patiala Multicare Hospital,Middle Age,Medication,53334,2430,1703,70.08,3.3
13615,Pneumonia,Kapurthala,Kapurthala Health Centre,Young Adult,Chemotherapy,455801,4578,3807,83.16,2.5
13616,Malaria,Mansa,Mansa Prime Hospital,Teenager,Physiotherapy,161621,1702,1259,73.97,3.9
13617,Tuberculosis,Barnala,Barnala Life Care Centre,Senior Citizen,Radiotherapy,336764,1346,976,72.51,3.1
13618,Heart Disease,Amritsar,Amritsar City Hospital,Senior Citizen,Dialysis,38291,1077,927,86.07,3.0
13619,COVID-19,Muktsar,Muktsar City Hospital,Adult,Counselling,428475,535,329,61.5,3.0
13620,Pneumonia,Mohali,Mohali Advanced Hospital,Senior Citizen,Physiotherapy,465535,3834,3459,90.22,4.3
13621,Dengue,Patiala,Patiala Advanced Medical Centre,Teenager,Physiotherapy,467348,2327,1483,63.73,4.9
13622,Hypertension,Amritsar,Amritsar General Care Hospital,Young Adult,Emergency Care,412133,4641,4520,97.39,4.5
13623,Tuberculosis,Firozpur,Firozpur City Hospital,Teenager,Chemotherapy,192734,4201,3642,86.69,2.9
13624,COVID-19,Fazilka,Fazilka City Hospital,Senior Citizen,Chemotherapy,43480,1113,1045,93.89,3.1
13625,Typhoid,Hoshiarpur,Hoshiarpur Prime Hospital,Child,Surgery,238876,3301,3222,97.61,3.0
13626,Heart Disease,Firozpur,Firozpur City Hospital,Adult,ICU Care,136421,713,502,70.41,4.0
13627,Heart Disease,Hoshiarpur,Hoshiarpur Multicare Hospital,Middle Age,Emergency Care,162512,2961,2245,75.82,3.4
13628,Heart Disease,Amritsar,Amritsar Medical Point,Middle Age,Radiotherapy,74621,340,272,80.0,4.1
13629,Asthma,Muktsar,Muktsar Prime Healthcare,Teenager,Medication,431159,780,505,64.74,2.9
13630,Hypertension,Amritsar,Amritsar Advanced Hospital,Young Adult,Radiotherapy,484450,4783,3933,82.23,3.2
13631,Kidney Disease,Mansa,Mansa Prime Hospital,Middle Age,Dialysis,237595,635,388,61.1,2.8
13632,Liver Disease,Mansa,Mansa Health Centre,Adult,ICU Care,413692,3424,2592,75.7,3.3
13633,Typhoid,Patiala,Patiala Advanced Medical Centre,Middle Age,ICU Care,197653,204,169,82.84,4.5
13634,Thyroid Disorder,Patiala,Patiala Medical Centre,Middle Age,Emergency Care,30317,753,563,74.77,4.1
13635,Cancer,Moga,Moga City Hospital,Middle Age,Medication,227979,1377,1286,93.39,2.9
13636,Pneumonia,Rupnagar,Rupnagar Prime Hospital,Child,Physiotherapy,257398,4348,2918,67.11,4.7
13637,Pneumonia,Mohali,Mohali Health Centre,Teenager,Chemotherapy,92015,1219,1086,89.09,3.0
13638,Thyroid Disorder,Rupnagar,Rupnagar Prime Hospital,Senior Citizen,Medication,371817,797,571,71.64,3.5
13639,Hypertension,Bathinda,Bathinda Advanced Hospital,Teenager,Chemotherapy,145300,1099,1082,98.45,3.0
13640,Arthritis,Gurdaspur,Gurdaspur Health Centre,Adult,Physiotherapy,438391,1163,797,68.53,4.8
13641,Typhoid,Fazilka,Fazilka Health Centre,Child,Medication,207285,3534,2413,68.28,4.0
13642,Liver Disease,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Adult,Physiotherapy,466200,2224,1473,66.23,3.0
13643,Thyroid Disorder,Rupnagar,Rupnagar Health Centre,Young Adult,Vaccination,87481,371,343,92.45,3.4
13644,Typhoid,Bathinda,Bathinda City Hospital,Adult,Dialysis,282471,4216,3615,85.74,3.6
13645,COVID-19,Firozpur,Firozpur Health Centre,Adult,Dialysis,135862,4798,3284,68.45,3.2
13646,Diabetes,Nawanshahr,Nawanshahr Prime Healthcare,Teenager,Physiotherapy,278503,4468,3283,73.48,4.3
13647,Dengue,Gurdaspur,Gurdaspur Multicare Hospital,Young Adult,Vaccination,183974,4714,4260,90.37,3.3
13648,Malaria,Tarn Taran,Tarn Taran Health Centre,Adult,Emergency Care,311754,1123,1117,99.47,2.7
13649,Tuberculosis,Nawanshahr,Nawanshahr Multicare Hospital,Adult,Surgery,366964,1295,900,69.5,4.8
13650,Typhoid,Muktsar,Muktsar Multicare Hospital,Middle Age,Surgery,336444,4605,3869,84.02,2.9
13651,Typhoid,Sangrur,Sangrur City Hospital,Child,Surgery,338873,1885,1561,82.81,3.1
13652,Diabetes,Moga,Moga Health Centre,Child,Radiotherapy,342064,3588,2881,80.3,4.2
13653,Kidney Disease,Mohali,Mohali Healthcare Point,Teenager,ICU Care,16875,3830,2942,76.81,3.1
13654,Kidney Disease,Khanna,Khanna Multicare Hospital,Teenager,Emergency Care,43680,3166,3035,95.86,4.6
13655,Asthma,Jalandhar,Jalandhar Prime Hospital,Middle Age,Dialysis,54973,3175,2792,87.94,3.0
13656,Liver Disease,Patiala,Patiala Prime Healthcare,Middle Age,Chemotherapy,154773,1048,727,69.37,3.2
13657,Kidney Disease,Muktsar,Muktsar City Hospital,Child,Emergency Care,253115,2639,2029,76.89,3.2
13658,Pneumonia,Pathankot,Pathankot Prime Hospital,Adult,Counselling,353630,4788,4650,97.12,4.4
13659,Arthritis,Faridkot,Faridkot Multicare Hospital,Teenager,Medication,311032,3079,2140,69.5,4.1
13660,Cancer,Sangrur,Sangrur City Hospital,Teenager,ICU Care,6086,557,515,92.46,3.4
13661,Typhoid,Pathankot,Pathankot Multicare Hospital,Young Adult,Chemotherapy,285898,1306,1295,99.16,2.8
13662,Kidney Disease,Rupnagar,Rupnagar Prime Hospital,Young Adult,Radiotherapy,189376,2889,2382,82.45,2.5
13663,Arthritis,Firozpur,Firozpur City Hospital,Young Adult,ICU Care,404339,4032,3741,92.78,4.0
13664,Kidney Disease,Amritsar,Amritsar Life Care Centre,Child,Vaccination,25786,3327,2954,88.79,4.5
13665,Thyroid Disorder,Nawanshahr,Nawanshahr Health Centre,Young Adult,Radiotherapy,321866,1906,1767,92.71,2.8
13666,Diabetes,Jalandhar,Jalandhar Multicare Centre,Young Adult,Counselling,32166,2505,2463,98.32,3.5
13667,Malaria,Malerkotla,Malerkotla Multicare Hospital,Child,ICU Care,367442,4776,3467,72.59,4.5
13668,Thyroid Disorder,Nawanshahr,Nawanshahr Multicare Hospital,Teenager,Radiotherapy,264046,2239,2222,99.24,4.6
13669,Liver Disease,Nawanshahr,Nawanshahr Prime Healthcare,Adult,ICU Care,83923,3494,3140,89.87,4.7
13670,Tuberculosis,Bathinda,Bathinda Multicare Hospital,Middle Age,Chemotherapy,42858,2476,1520,61.39,3.9
13671,Hypertension,Khanna,Khanna Prime Healthcare,Young Adult,Emergency Care,96671,3657,2264,61.91,5.0
13672,Liver Disease,Nawanshahr,Nawanshahr Health Centre,Young Adult,Radiotherapy,333977,4876,4419,90.63,3.9
13673,Asthma,Pathankot,Pathankot Multicare Hospital,Teenager,Vaccination,78586,1270,1080,85.04,3.6
13674,Diabetes,Mansa,Mansa Multicare Hospital,Adult,Chemotherapy,389418,3976,3727,93.74,4.2
13675,Thyroid Disorder,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Teenager,Dialysis,198125,2205,1911,86.67,4.9
13676,COVID-19,Gurdaspur,Gurdaspur City Hospital,Senior Citizen,ICU Care,166208,2998,2836,94.6,4.4
13677,Heart Disease,Malerkotla,Malerkotla Prime Healthcare,Teenager,Counselling,45443,1661,1631,98.19,3.5
13678,Asthma,Mansa,Mansa Multicare Hospital,Young Adult,Surgery,434580,2243,1730,77.13,4.7
13679,Cancer,Jalandhar,Jalandhar Healthcare Hospital,Child,Surgery,491589,3629,2788,76.83,3.3
13680,Asthma,Malerkotla,Malerkotla Prime Healthcare,Young Adult,Physiotherapy,336485,4995,4689,93.87,2.5
13681,Pneumonia,Pathankot,Pathankot Health Centre,Senior Citizen,Chemotherapy,385006,3202,3122,97.5,3.2
13682,Tuberculosis,Barnala,Barnala Multicare Hospital,Middle Age,Radiotherapy,139838,3032,1924,63.46,2.5
13683,Typhoid,Amritsar,Amritsar City Hospital,Adult,Vaccination,463221,3807,3049,80.09,2.8
13684,Asthma,Ludhiana,Ludhiana Medical Centre,Young Adult,Counselling,320985,2218,2031,91.57,4.7
13685,Heart Disease,Patiala,Patiala Life Care Hospital,Middle Age,Counselling,89008,3350,2609,77.88,3.3
13686,Hypertension,Kapurthala,Kapurthala Multicare Hospital,Child,ICU Care,201638,3920,2668,68.06,3.2
13687,Diabetes,Khanna,Khanna Health Centre,Young Adult,Radiotherapy,229030,3009,2928,97.31,4.2
13688,Arthritis,Fazilka,Fazilka Prime Hospital,Young Adult,Emergency Care,231378,4147,3128,75.43,4.8
13689,Malaria,Rupnagar,Rupnagar Health Centre,Senior Citizen,Physiotherapy,316057,4558,4514,99.03,4.8
13690,Typhoid,Hoshiarpur,Hoshiarpur City Hospital,Teenager,Surgery,462489,963,897,93.15,2.9
13691,Cancer,Kapurthala,Kapurthala Health Centre,Middle Age,ICU Care,277349,1972,1704,86.41,2.5
13692,Hypertension,Abohar,Abohar Multicare Hospital,Adult,Counselling,332420,1719,1498,87.14,4.9
13693,Diabetes,Malerkotla,Malerkotla Prime Healthcare,Middle Age,Vaccination,126579,1394,1200,86.08,3.5
13694,Kidney Disease,Muktsar,Muktsar Multicare Hospital,Young Adult,Counselling,119723,1061,1058,99.72,4.0
13695,Asthma,Abohar,Abohar Multicare Hospital,Adult,Physiotherapy,266175,852,642,75.35,4.8
13696,Heart Disease,Patiala,Patiala General Hospital,Teenager,Physiotherapy,292242,2032,1238,60.93,3.3
13697,Arthritis,Sangrur,Sangrur Prime Healthcare,Middle Age,Physiotherapy,466192,4340,3632,83.69,3.3
13698,Kidney Disease,Muktsar,Muktsar Health Centre,Senior Citizen,Surgery,411625,2492,2090,83.87,4.8
13699,Asthma,Barnala,Barnala Health Centre,Senior Citizen,Radiotherapy,339069,127,117,92.13,4.4
13700,Dengue,Mohali,Mohali City Hospital,Young Adult,Vaccination,415847,3526,3439,97.53,3.6
13701,Pneumonia,Nawanshahr,Nawanshahr Health Centre,Senior Citizen,Physiotherapy,321806,4409,3497,79.32,2.8
13702,Liver Disease,Kapurthala,Kapurthala Health Centre,Senior Citizen,Physiotherapy,101330,4702,4526,96.26,4.9
13703,Heart Disease,Gurdaspur,Gurdaspur Health Centre,Teenager,Emergency Care,404526,941,603,64.08,3.3
13704,Thyroid Disorder,Bathinda,Bathinda City Hospital,Senior Citizen,Dialysis,385862,4067,3502,86.11,2.7
13705,Malaria,Kapurthala,Kapurthala City Hospital,Middle Age,Medication,99231,353,305,86.4,4.2
13706,Tuberculosis,Firozpur,Firozpur City Hospital,Middle Age,Physiotherapy,264545,595,428,71.93,2.5
13707,COVID-19,Patiala,Patiala Advanced Medical Centre,Middle Age,Medication,187584,3360,2505,74.55,3.8
13708,Diabetes,Firozpur,Firozpur City Hospital,Young Adult,Dialysis,196431,1534,1303,84.94,4.8
13709,Pneumonia,Sangrur,Sangrur Multicare Hospital,Adult,Medication,216490,4061,3673,90.45,2.9
13710,Asthma,Fazilka,Fazilka Health Centre,Young Adult,Dialysis,281032,125,111,88.8,3.6
13711,Asthma,Nawanshahr,Nawanshahr Prime Healthcare,Child,Counselling,170603,3332,2968,89.08,3.4
13712,Typhoid,Ludhiana,Ludhiana Multicare Hospital,Adult,Radiotherapy,392092,4021,3463,86.12,4.0
13713,Asthma,Patiala,Patiala Health Centre,Middle Age,Medication,8872,3974,2999,75.47,3.6
13714,Liver Disease,Fazilka,Fazilka Prime Hospital,Child,Surgery,33906,2763,1665,60.26,3.5
13715,Thyroid Disorder,Tarn Taran,Tarn Taran Health Centre,Young Adult,ICU Care,367244,3954,3384,85.58,3.5
13716,Thyroid Disorder,Hoshiarpur,Hoshiarpur Civil Hospital,Adult,Surgery,349457,4570,4150,90.81,3.6
13717,Tuberculosis,Gurdaspur,Gurdaspur City Hospital,Teenager,Emergency Care,225979,3671,2270,61.84,4.2
13718,Hypertension,Jalandhar,Jalandhar Life Care Hospital,Child,Vaccination,51840,1498,1241,82.84,2.9
13719,Thyroid Disorder,Ludhiana,Ludhiana Healthcare Centre,Child,Dialysis,240351,4932,4187,84.89,3.1
13720,COVID-19,Abohar,Abohar City Hospital,Teenager,Surgery,371971,2451,1984,80.95,4.8
13721,Hypertension,Kapurthala,Kapurthala Multicare Hospital,Young Adult,Dialysis,435481,4051,3860,95.29,3.9
13722,Diabetes,Faridkot,Faridkot Prime Hospital,Young Adult,Vaccination,406499,317,312,98.42,3.1
13723,Arthritis,Mansa,Mansa City Hospital,Child,ICU Care,287788,1528,1174,76.83,4.7
13724,Arthritis,Amritsar,Amritsar Advanced Hospital,Child,Physiotherapy,201276,1979,1353,68.37,2.8
13725,Thyroid Disorder,Barnala,Barnala City Hospital,Middle Age,Radiotherapy,362628,920,780,84.78,4.8
13726,Arthritis,Pathankot,Pathankot Prime Hospital,Senior Citizen,Surgery,480935,2396,2104,87.81,3.1
13727,Pneumonia,Mohali,Mohali City Hospital,Child,Physiotherapy,26790,4918,3297,67.04,2.7
13728,Cancer,Ludhiana,Ludhiana Health Point,Senior Citizen,ICU Care,134150,2178,1831,84.07,3.6
13729,Tuberculosis,Khanna,Khanna Multicare Hospital,Adult,Emergency Care,395856,2624,2106,80.26,3.0
13730,Malaria,Tarn Taran,Tarn Taran Prime Hospital,Teenager,Counselling,376559,2660,2188,82.26,2.7
13731,Thyroid Disorder,Khanna,Khanna Health Centre,Young Adult,Physiotherapy,55932,708,484,68.36,4.5
13732,Liver Disease,Abohar,Abohar Prime Hospital,Adult,Chemotherapy,455889,3290,2794,84.92,3.4
13733,Diabetes,Amritsar,Amritsar General Care Hospital,Child,Radiotherapy,108387,4243,3353,79.02,4.4
13734,Malaria,Mohali,Mohali Multicare Hospital,Middle Age,Radiotherapy,49471,4563,4262,93.4,4.3
13735,Tuberculosis,Malerkotla,Malerkotla City Hospital,Teenager,Counselling,25885,421,411,97.62,2.5
13736,Arthritis,Moga,Moga Life Care Hospital,Young Adult,ICU Care,406818,807,609,75.46,3.5
13737,Dengue,Tarn Taran,Tarn Taran Multicare Hospital,Young Adult,Vaccination,185092,3405,2854,83.82,3.5
13738,COVID-19,Hoshiarpur,Hoshiarpur Civil Hospital,Middle Age,Medication,90905,2768,2182,78.83,3.0
13739,Malaria,Hoshiarpur,Hoshiarpur Civil Hospital,Adult,Emergency Care,225011,4155,3438,82.74,3.3
13740,COVID-19,Patiala,Patiala Prime Healthcare,Adult,Radiotherapy,212521,238,231,97.06,4.6
13741,COVID-19,Mohali,Mohali Prime Medical Centre,Senior Citizen,Surgery,21505,2250,1909,84.84,4.8
13742,Hypertension,Mohali,Mohali Multispeciality Hospital,Senior Citizen,Emergency Care,397287,2398,1794,74.81,3.3
13743,Dengue,Nawanshahr,Nawanshahr Prime Healthcare,Teenager,Vaccination,158866,4443,3835,86.32,4.1
13744,Cancer,Muktsar,Muktsar Health Centre,Child,Surgery,101894,1753,1116,63.66,4.6
13745,Cancer,Nawanshahr,Nawanshahr Multicare Hospital,Adult,Vaccination,89645,3307,3155,95.4,3.7
13746,Asthma,Faridkot,Faridkot Multicare Hospital,Senior Citizen,Vaccination,407143,218,182,83.49,3.2
13747,Thyroid Disorder,Barnala,Barnala Health Centre,Child,Counselling,258097,3573,2855,79.9,4.3
13748,Cancer,Fazilka,Fazilka Prime Hospital,Child,ICU Care,64296,1430,1217,85.1,4.7
13749,Thyroid Disorder,Tarn Taran,Tarn Taran City Hospital,Teenager,Chemotherapy,329421,4311,3787,87.85,3.7
13750,Diabetes,Mohali,Mohali Healthcare Point,Middle Age,Radiotherapy,40534,3162,3032,95.89,3.3
13751,Malaria,Barnala,Barnala City Hospital,Young Adult,Emergency Care,362871,1614,1402,86.86,3.1
13752,Malaria,Sangrur,Sangrur City Hospital,Middle Age,Medication,230929,1223,1061,86.75,3.9
13753,Diabetes,Barnala,Barnala City Hospital,Adult,Dialysis,63882,940,783,83.3,3.8
13754,Hypertension,Amritsar,Amritsar Prime Healthcare,Young Adult,Surgery,464909,1982,1850,93.34,4.7
13755,Heart Disease,Moga,Moga Life Care Hospital,Adult,Surgery,342472,1321,1228,92.96,3.2
13756,Diabetes,Ludhiana,Ludhiana Prime Hospital,Adult,Counselling,292206,1424,879,61.73,4.1
13757,Hypertension,Hoshiarpur,Hoshiarpur City Hospital,Young Adult,Medication,220309,4004,3653,91.23,2.9
13758,Diabetes,Gurdaspur,Gurdaspur Health Centre,Senior Citizen,Emergency Care,47966,1481,964,65.09,2.7
13759,Cancer,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Middle Age,Emergency Care,469219,1021,1009,98.82,2.9
13760,Kidney Disease,Mansa,Mansa City Hospital,Teenager,Counselling,245166,957,941,98.33,4.1
13761,COVID-19,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Young Adult,ICU Care,241770,833,602,72.27,3.3
13762,COVID-19,Tarn Taran,Tarn Taran City Hospital,Middle Age,Chemotherapy,302533,3875,3052,78.76,4.1
13763,Asthma,Tarn Taran,Tarn Taran City Hospital,Senior Citizen,Radiotherapy,332659,3114,2577,82.76,2.9
13764,Dengue,Moga,Moga Prime Healthcare,Senior Citizen,Dialysis,7729,385,349,90.65,3.2
13765,Pneumonia,Nawanshahr,Nawanshahr City Hospital,Teenager,Physiotherapy,124166,2339,1875,80.16,4.8
13766,Tuberculosis,Rupnagar,Rupnagar City Hospital,Adult,Radiotherapy,68020,3702,3490,94.27,4.6
13767,Thyroid Disorder,Khanna,Khanna Health Centre,Child,Dialysis,155147,2514,1550,61.65,4.0
13768,Arthritis,Muktsar,Muktsar Multicare Hospital,Child,ICU Care,77567,3387,2266,66.9,4.0
13769,Thyroid Disorder,Fazilka,Fazilka City Hospital,Young Adult,Physiotherapy,218739,4749,4567,96.17,4.7
13770,Pneumonia,Malerkotla,Malerkotla City Hospital,Middle Age,ICU Care,246448,673,408,60.62,4.9
13771,COVID-19,Rupnagar,Rupnagar Multicare Hospital,Adult,Physiotherapy,175172,678,558,82.3,3.5
13772,Cancer,Fazilka,Fazilka Health Centre,Adult,Counselling,420723,3267,2446,74.87,2.7
13773,COVID-19,Muktsar,Muktsar Prime Healthcare,Child,ICU Care,50401,1956,1201,61.4,4.4
13774,Hypertension,Patiala,Patiala Multicare Hospital,Teenager,Vaccination,270161,2006,1461,72.83,2.9
13775,Thyroid Disorder,Abohar,Abohar City Hospital,Middle Age,Vaccination,228140,401,251,62.59,3.4
13776,Arthritis,Khanna,Khanna Prime Healthcare,Senior Citizen,Radiotherapy,391424,4844,4194,86.58,4.0
13777,Thyroid Disorder,Firozpur,Firozpur Multicare Hospital,Teenager,Surgery,60966,285,190,66.67,4.9
13778,Asthma,Rupnagar,Rupnagar City Hospital,Adult,Vaccination,268399,2309,1391,60.24,4.5
13779,Hypertension,Muktsar,Muktsar Multicare Hospital,Middle Age,ICU Care,130361,4231,4206,99.41,3.6
13780,Hypertension,Mansa,Mansa Health Centre,Middle Age,Emergency Care,300108,4505,3601,79.93,3.8
13781,Hypertension,Jalandhar,Jalandhar City Hospital,Teenager,Physiotherapy,435894,3643,3317,91.05,4.6
13782,Cancer,Khanna,Khanna Multicare Hospital,Middle Age,Physiotherapy,44098,317,298,94.01,2.9
13783,Dengue,Jalandhar,Jalandhar Multicare Centre,Teenager,Radiotherapy,15633,4150,3864,93.11,4.1
13784,Malaria,Mohali,Mohali Multicare Hospital,Child,Physiotherapy,437920,3345,2339,69.93,3.2
13785,Malaria,Nawanshahr,Nawanshahr Prime Healthcare,Teenager,Radiotherapy,313850,2648,2619,98.9,2.6
13786,Asthma,Nawanshahr,Nawanshahr Multicare Hospital,Child,Physiotherapy,29869,1818,1303,71.67,2.7
13787,Hypertension,Faridkot,Faridkot Multicare Hospital,Teenager,Counselling,428146,1695,1542,90.97,3.4
13788,Liver Disease,Hoshiarpur,Hoshiarpur Multicare Hospital,Adult,Medication,104947,2686,2229,82.99,4.6
13789,Thyroid Disorder,Patiala,Patiala Life Care Hospital,Senior Citizen,Emergency Care,173946,973,716,73.59,4.3
13790,Pneumonia,Amritsar,Amritsar Life Care Centre,Young Adult,Dialysis,339157,1738,1545,88.9,3.5
13791,Thyroid Disorder,Khanna,Khanna City Hospital,Adult,Emergency Care,244817,2012,1425,70.83,2.5
13792,Tuberculosis,Barnala,Barnala Multicare Hospital,Adult,Physiotherapy,53579,1204,916,76.08,2.7
13793,Dengue,Mansa,Mansa City Hospital,Young Adult,Medication,134701,1327,1070,80.63,3.9
13794,Tuberculosis,Tarn Taran,Tarn Taran Health Centre,Adult,Medication,26533,350,328,93.71,2.7
13795,Malaria,Sangrur,Sangrur Life Care Centre,Child,Emergency Care,475809,2333,1501,64.34,3.9
13796,Arthritis,Fazilka,Fazilka Prime Hospital,Child,Radiotherapy,294338,3635,2597,71.44,2.7
13797,Arthritis,Khanna,Khanna Prime Healthcare,Child,Surgery,30982,2130,1732,81.31,3.4
13798,Hypertension,Moga,Moga Health Centre,Young Adult,Chemotherapy,10669,697,658,94.4,4.4
13799,Dengue,Patiala,Patiala Medical Centre,Young Adult,ICU Care,103493,4381,3346,76.38,4.7
13800,Cancer,Mansa,Mansa Prime Hospital,Teenager,ICU Care,101458,4273,3725,87.18,3.7
13801,Cancer,Faridkot,Faridkot Life Care Centre,Young Adult,Dialysis,55042,1147,1059,92.33,4.3
13802,Pneumonia,Malerkotla,Malerkotla Multicare Hospital,Middle Age,Radiotherapy,495339,4334,4009,92.5,3.8
13803,Pneumonia,Ludhiana,Ludhiana Multicare Hospital,Adult,Emergency Care,159373,2256,2221,98.45,3.8
13804,Liver Disease,Abohar,Abohar Prime Hospital,Child,Counselling,109160,3147,2387,75.85,3.5
13805,Diabetes,Barnala,Barnala Health Centre,Young Adult,Emergency Care,390607,190,148,77.89,2.9
13806,Thyroid Disorder,Kapurthala,Kapurthala Prime Healthcare,Adult,Surgery,384672,574,391,68.12,4.8
13807,Dengue,Fazilka,Fazilka City Hospital,Child,Chemotherapy,493148,892,732,82.06,3.8
13808,Malaria,Tarn Taran,Tarn Taran City Hospital,Teenager,Counselling,465225,4669,2896,62.03,4.5
13809,Kidney Disease,Khanna,Khanna Prime Healthcare,Young Adult,Dialysis,227003,3191,2591,81.2,3.6
13810,Typhoid,Ludhiana,Ludhiana Medical Centre,Senior Citizen,Surgery,336099,1346,854,63.45,3.8
13811,Asthma,Jalandhar,Jalandhar Prime Hospital,Senior Citizen,Physiotherapy,153550,983,666,67.75,3.3
13812,Diabetes,Rupnagar,Rupnagar Prime Hospital,Child,Chemotherapy,130831,2574,2293,89.08,4.4
13813,Kidney Disease,Hoshiarpur,Hoshiarpur Multicare Hospital,Child,Counselling,404958,521,461,88.48,3.8
13814,Typhoid,Mansa,Mansa Prime Hospital,Young Adult,Counselling,221547,3753,2420,64.48,4.7
13815,Arthritis,Abohar,Abohar Multicare Hospital,Adult,Surgery,80938,3049,1914,62.77,4.2
13816,Diabetes,Pathankot,Pathankot Prime Hospital,Child,Counselling,60756,721,490,67.96,3.5
13817,Arthritis,Faridkot,Faridkot Health Centre,Adult,Emergency Care,477577,2744,2226,81.12,3.5
13818,Diabetes,Mohali,Mohali Life Care Hospital,Adult,Surgery,207188,1733,1227,70.8,4.3
13819,Liver Disease,Malerkotla,Malerkotla Health Centre,Adult,Emergency Care,238223,3062,2854,93.21,3.0
13820,Thyroid Disorder,Nawanshahr,Nawanshahr Multicare Hospital,Young Adult,Medication,248568,955,725,75.92,3.9
13821,Kidney Disease,Rupnagar,Rupnagar City Hospital,Middle Age,Surgery,232703,1348,903,66.99,3.4
13822,Arthritis,Bathinda,Bathinda Life Care Centre,Teenager,ICU Care,358458,1267,875,69.06,4.5
13823,Pneumonia,Khanna,Khanna City Hospital,Child,Medication,156083,3238,3050,94.19,3.6
13824,Hypertension,Moga,Moga Prime Healthcare,Teenager,Physiotherapy,8229,3533,2998,84.86,4.3
13825,Thyroid Disorder,Mansa,Mansa City Hospital,Young Adult,Dialysis,362950,3094,2670,86.3,3.4
13826,Typhoid,Gurdaspur,Gurdaspur Prime Healthcare,Adult,Dialysis,434330,2832,1773,62.61,3.4
13827,Tuberculosis,Sangrur,Sangrur City Hospital,Senior Citizen,Emergency Care,75050,1831,1484,81.05,4.1
13828,Kidney Disease,Muktsar,Muktsar Multicare Hospital,Teenager,Medication,326335,1088,940,86.4,2.5
13829,Hypertension,Sangrur,Sangrur Prime Healthcare,Senior Citizen,Radiotherapy,370320,3633,2502,68.87,3.0
13830,Cancer,Patiala,Patiala City Hospital,Senior Citizen,ICU Care,87829,1425,1029,72.21,3.2
13831,Arthritis,Kapurthala,Kapurthala Multicare Hospital,Young Adult,ICU Care,67032,4920,4524,91.95,4.9
13832,Thyroid Disorder,Khanna,Khanna Health Centre,Adult,Emergency Care,63853,670,522,77.91,2.7
13833,Dengue,Patiala,Patiala General Hospital,Adult,ICU Care,291752,1266,880,69.51,4.4
13834,Asthma,Moga,Moga City Hospital,Young Adult,Chemotherapy,97955,3808,3004,78.89,4.0
13835,Hypertension,Pathankot,Pathankot Multicare Hospital,Senior Citizen,Counselling,315671,2380,1473,61.89,3.1
13836,Arthritis,Ludhiana,Ludhiana Advanced Medical Centre,Middle Age,Emergency Care,272618,2619,1699,64.87,4.1
13837,Asthma,Khanna,Khanna Multicare Hospital,Senior Citizen,ICU Care,425457,4617,3410,73.86,2.9
13838,Dengue,Hoshiarpur,Hoshiarpur Prime Hospital,Adult,Radiotherapy,342021,3837,2345,61.12,4.1
13839,Asthma,Fazilka,Fazilka Prime Hospital,Adult,Emergency Care,307099,2132,1502,70.45,3.0
13840,Tuberculosis,Faridkot,Faridkot Life Care Centre,Senior Citizen,Vaccination,149250,1267,832,65.67,3.1
13841,Liver Disease,Firozpur,Firozpur Multicare Hospital,Child,ICU Care,495502,582,467,80.24,2.9
13842,Diabetes,Moga,Moga Life Care Hospital,Teenager,Counselling,378975,4067,2711,66.66,3.7
13843,Thyroid Disorder,Patiala,Patiala Advanced Medical Centre,Teenager,Chemotherapy,362643,3396,2641,77.77,3.9
